128 		Credo 	CREDO 	0,056059 	$34,26M 	$10,54K 	0% 	0% 	+42,60%
129 		Unobtanium 	UNO 	78,6 	$34,24M 	$63,87K 	0% 	0% 	+145,43%
130 		Endor Protocol 	EDR 	0,029742 	$34,08M 	$23,87M 	0,13% 	+10,50% 	+55,75%
131 		Radium 	RADS 	1,1682 	$33,99M 	$6,93K 	0% 	0% 	+1,38K%
132 		Apollo Currency 	APL 	0,001178 	$33,92M 	$1,72M 	0,01% 	+3,34% 	+107,99%
133 		Mithril 	MITH 	0,0357 	$33,90M 	$4,07M 	0,03% 	+4,69% 	-6,64%
134 		ZenCash 	ZEN 	5,61 	$33,78M 	$982,20K 	0% 	+7,15% 	+10,95%
135 		Centrality 	CENNZ 	0,025438 	$33,68M 	$4,20K 	0% 	+3,52% 	+9,35%
136 		Santiment Network Token 	SAN 	0,51788 	$33,68M 	$48,25K 	0% 	+11,16% 	+5,21%
137 		MonaCoin 	MONA 	0,4939 	$33,62M 	$149,23K 	0% 	+4,08% 	-9,17%
138 		Dent 	DENT 	0,0012 	$33,36M 	$972,59K 	0% 	0% 	+0,88%
139 		CoinDash 	CDT 	0,0081 	$33,31M 	$1,40M 	0,01% 	-4,94% 	-39,92%
140 		Timicoin 	TMC 	0,10461 	$33,18M 	$38,60K 	0% 	+563,53% 	+498,24%
141 		TomoChain 	TOMO 	0,28338 	$33,18M 	$133,22K 	0% 	+7,31% 	+4,31%
142 		Moss Coin 	MOC 	0,143514 	$33,02M 	$23,89M 	0,08% 	+232,76% 	+281,14%
143 		Wanchain 	WAN 	0,31013 	$32,78M 	$1,94M 	0,01% 	+4,92% 	+4,32%
144 		Vertcoin 	VTC 	0,41335 	$32,72M 	$46,28M 	0,23% 	+5,56% 	+147,80%
145 		Bancor 	BNT 	0,5199 	$32,52M 	$1,98M 	0,01% 	+1,96% 	-1,21%
146 		SysCoin 	SYS 	0,05282 	$32,51M 	$2,56M 	0,01% 	+4,60% 	+46,69%
147 		Optimal Shelf Availability Token 	OSA 	0,0375607 	$32,41M 	$1,33M 	0,01% 	-17,52% 	-12,66%
148 		Bitcoiin 	B2G 	0,646112 	$31,95M 	$845,87K 	0% 	-1,96% 	+220,84%
149 		Particl 	PART 	2,4457 	$31,77M 	$908,03K 	0% 	+16,34% 	+93,42%
150 		QuarkChain 	QKC 	0,032227 	$31,22M 	$56,67M 	0,34% 	+4,86% 	-0,20%
151 		Gas 	GAS 	2,3847 	$31,05M 	$42,73M 	0,21% 	+4,69% 	+51,58%
152 		BHPCash 	BHPC 	0,900965 	$30,99M 	$0 	0% 	-9,33% 	+33,79%
153 		Elastos 	ELA 	2,0103 	$30,55M 	$1,77M 	0,01% 	+2,83% 	+0,11%
154 		Bitcoin Private 	BTCP 	1,1924 	$30,36M 	$94,99K 	0% 	+5,22% 	+32,47%
155 		Dentacoin 	DCN 	0,0000 	$30,33M 	$250,03K 	0% 	+11,29% 	-15,78%
156 		Buggyra Coin Zero 	BCZERO 	0,0051 	$28,94M 	$36,33K 	0% 	-13,92% 	+9,12%
157 		Everus 	EVR 	0,010854 	$28,86M 	$21,95K 	0% 	+3,40% 	+144,95%
158 		Nxt 	NXT 	0,023912 	$28,84M 	$487,79K 	0% 	+4,33% 	-5,29%
159 		ProximaX 	XPX 	0,0029 	$28,70M 	$1,94M 	0,01% 	-0,41% 	-18,62%
160 		MobileGo 	MGO 	0,1417 	$28,70M 	$8,83M 	0,05% 	0% 	+29,00%
161 		TenX 	PAY 	0,22347 	$28,34M 	$132,76K 	0% 	+2,62% 	-4,95%
162 		Nebulas 	NAS 	0,6205 	$27,44M 	$960,44K 	0,01% 	+5,27% 	-3,76%
163 		BOScoin 	BOS 	0,021316 	$27,03M 	$12,74K 	0% 	-3,10% 	+2,20%
164 		BCAP 	BCAP 	1,219 	$26,85M 	$0 	0% 	+7,95% 	0%
165 		Voxels 	VOX 	0,06546 	$26,45M 	$4,60M 	0,03% 	+3,52% 	+10,75%
166 		FunFair 	FUN 	0,004496 	$24,59M 	$335,38K 	0% 	-0,03% 	-8,93%
167 		WaykiChain 	WICC 	0,1399 	$24,33M 	$140,00K 	0% 	+4,09% 	-10,10%
168 		Gold Bits Coin 	GBC 	0,222743 	$23,60M 	$20,50K 	0% 	-2,53% 	-11,23%
169 		SingularityNET 	AGI 	0,044988 	$22,87M 	$198,79K 	0% 	+3,02% 	-12,91%
170 		Eidoo 	EDO 	0,78 	$22,21M 	$309,44K 	0% 	+2,21% 	-13,46%
171 		Iconomi 	ICN 	0,38134 	$21,61M 	$4,10K 	0% 	0% 	+13,11%
172 		Genesis Vision 	GVT 	4,0261 	$21,26M 	$8,64M 	0,06% 	+5,58% 	+20,45%
173 		XYO Network 	XYO 	0,002363 	$21,20M 	$20,00M 	0,13% 	+5,77% 	-23,36%
174 		Byteball 	GBYTE 	42,32 	$20,37M 	$4,18K 	0% 	-4,67% 	-3,96%
175 		Enigma 	ENG 	0,28284 	$20,21M 	$727,41K 	0% 	0% 	+3,13%
176 		Dragonchain 	DRGN 	0,0844 	$20,13M 	$289,57K 	0% 	+11,85% 	-6,16%
177 		Nectar 	NEC 	0,245 	$19,90M 	$162,58 	0% 	+8,12% 	-14,80%
178 		Nexus 	NXS 	0,32122 	$19,71M 	$106,88K 	0% 	+3,71% 	+2,09%
179 		CyberMiles 	CMT 	0,0283 	$19,66M 	$1,29M 	0,01% 	+2,75% 	-4,69%
180 		Nuls 	NULS 	0,4 	$19,16M 	$7,74M 	0,05% 	-4,30% 	-7,63%
181 		Civic 	CVC 	0,05812 	$19,10M 	$524,38K 	0% 	+1,92% 	-8,23%
182 		Substratum 	SUB 	0,1083 	$18,98M 	$279,35K 	0% 	0% 	-1,46%
183 		SALT 	SALT 	0,14557 	$18,68M 	$1,02M 	0,01% 	-22,70% 	-2,67%
184 		Dynamic Trading Rights 	DTR 	0,018946 	$18,41M 	$461,71 	0% 	+9,19% 	-3,59%
185 		THEKEY 	TKY 	0,002355 	$18,41M 	$163,67K 	0% 	+11,91% 	+14,03%
186 		Smartlands 	SLT 	3,5 	$17,99M 	$830,54K 	0,01% 	0% 	-5,96%
187 		Bread 	BRD 	0,22123 	$17,83M 	$36,02K 	0% 	+4,35% 	-7,92%
188 		HELPICO 	HELP 	4,95 	$17,62M 	$0 	0% 	-0,56% 	0%
189 		SmartCash 	SMART 	0,01162 	$17,62M 	$275,37K 	0% 	+5,66% 	-0,41%
190 		Moeda Loyalty Points 	MDA 	0,796 	$17,47M 	$4,28M 	0,03% 	+1,63% 	-13,45%
191 		Groestlcoin 	GRS 	0,24467 	$16,87M 	$478,82K 	0% 	+6,29% 	-5,85%
192 		Request Network 	REQ 	0,013572 	$16,49M 	$423,47K 	0% 	-29,90% 	-4,25%
193 		Neblio 	NEBL 	1,1910 	$16,41M 	$80,24K 	0% 	+7,57% 	+0,25%
194 		GoChain 	GO 	0,021698 	$16,05M 	$803,49K 	0,01% 	+7,06% 	-10,72%
195 		BridgeCoin 	BCO 	0,32489 	$15,97M 	$4,93K 	0% 	-0,48% 	-22,03%
196 		Telcoin 	TEL 	0,000432 	$15,79M 	$26,60K 	0% 	+13,86% 	-6,72%
197 		Cortex 	CTXC 	0,1257 	$15,75M 	$3,66M 	0,02% 	+6,35% 	-8,86%
198 		Odyssey 	OCN 	0,002336 	$15,62M 	$6,78M 	0,04% 	+0,96% 	+21,55%
199 		Edgeless 	EDG 	0,17332 	$15,55M 	$176,43K 	0% 	0% 	+24,00%
200 		Tokenomy 	TEN 	0,05184 	$15,18M 	$754,39K 	0,01% 	+4,42% 	-8,97%
201 		CRYPTO20 	C20 	0,44015 	$15,16M 	$595,50 	0% 	+7,31% 	+2,15%
202 		PumaPay 	PMA 	0,00051 	$15,05M 	$850,33K 	0,01% 	+3,26% 	-14,63%
203 		Storm 	STORM 	0,002983 	$14,81M 	$328,84K 	0% 	+0,92% 	-6,34%
204 		iExec RLC 	RLC 	0,24727 	$14,64M 	$193,70K 	0% 	0% 	-9,16%
205 		Bibox Token 	BIX 	0,1806 	$14,62M 	$598,92K 	0% 	+17,65% 	-19,78%
206 		Cindicator 	CND 	0,012865 	$14,43M 	$81,23K 	0% 	0% 	-11,93%
207 		TrueChain 	TRUE 	0,2882 	$14,42M 	$13,30M 	0,09% 	+3,16% 	-11,56%
208 		Lisk Machine Learning 	LML 	0,119328 	$14,32M 	$17,04K 	0% 	+0,22% 	+2,01%
209 		Fusion 	FSN 	0,6173 	$14,10M 	$359,86K 	0% 	+3,40% 	-14,30%
210 		Emercoin 	EMC 	0,2806 	$14,10M 	$150,49K 	0% 	+2,11% 	-21,43%
211 		AMO Coin 	AMO 	0,00156803 	$14,07M 	$305,29K 	0% 	-7,76% 	+36,32%
212 		Peercoin 	PPC 	0,503 	$13,84M 	$107,92K 	0% 	+5,40% 	-0,38%
213 		BnkToTheFuture 	BFT 	0,020688 	$13,83M 	$102,14K 	0% 	+4,91% 	-1,16%
214 		Gifto 	GTO 	0,03052 	$13,69M 	$5,87M 	0,04% 	+2,92% 	-2,10%
215 		Credits 	CS 	0,06307 	$13,60M 	$1,74M 	0,01% 	+4,85% 	-17,35%
216 		ColossusCoinXT 	COLX 	0,000373 	$13,52M 	$96,00K 	0% 	+3,34% 	-23,99%
217 		Energi 	NRG 	1,19462 	$13,47M 	$181,48K 	0% 	-2,34% 	-13,93%
218 		Pillar 	PLR 	0,02551 	$13,41M 	$2,58K 	0% 	-0,67% 	-28,77%
219 		Mainframe 	MFT 	0,00306677 	$13,29M 	$651,30K 	0% 	+6,33% 	-8,53%
220 		Aragon 	ANT 	0,41404 	$13,13M 	$95,48K 	0% 	0% 	-10,05%
221 		Republic Protocol 	REN 	0,018886 	$13,08M 	$402,74K 	0% 	-7,19% 	-4,97%
222 		STACS 	STACS 	0,0267515 	$13,07M 	$95,19K 	0% 	-0,27% 	-5,57%
223 		Martix AI Network 	MAN 	0,08747 	$13,03M 	$618,71K 	0% 	+5,96% 	-9,39%
224 		Po.et 	POE 	0,00477 	$12,92M 	$540,40K 	0% 	+2,67% 	-2,96%
225 		DMarket 	DMT 	0,2078 	$12,91M 	$4,15M 	0,03% 	+4,45% 	-6,36%
226 		Vitae 	VITAE 	1,14874 	$12,76M 	$14,79K 	0% 	-7,01% 	-15,91%
227 		TokenPay 	TPAY 	0,90818 	$12,75M 	$238,00K 	0% 	-4,63% 	-3,65%
228 		RChain 	RHOC 	0,01511 	$12,69M 	$176,00K 	0% 	+6,03% 	-1,34%
229 		Swarm 	SWM 	0,07251 	$12,44M 	$61,31K 	0% 	+0,28% 	-22,99%
230 		TokenClub 	TCT 	0,0381 	$12,36M 	$64,48K 	0% 	+2,63% 	+0,93%
231 		Ignis 	IGNIS 	0,015801 	$12,32M 	$14,39K 	0% 	+2,24% 	-4,23%
232 		APIS 	APIS 	0,002512 	$12,21M 	$3,10M 	0,02% 	+6,41% 	-32,68%
233 		IoTeX 	IOTX 	0,008735 	$12,20M 	$929,90K 	0,01% 	+8,39% 	-11,40%
234 		Game.com 	GTC 	0,009296 	$12,16M 	$25,69M 	0,17% 	+5,26% 	+154,09%
235 		Streamr DATAcoin 	DATA 	0,018789 	$12,14M 	$450,56K 	0% 	+3,14% 	-3,79%
236 		Raiden Network Token 	RDN 	0,24463 	$12,07M 	$395,92K 	0% 	-0,74% 	+13,82%
237 		Cube 	AUTO 	0,001688 	$12,04M 	$1,03M 	0,01% 	+1,28% 	+16,35%
238 		Neumark 	NEU 	0,19424 	$12,02M 	$1,35K 	0% 	+0,16% 	-13,93%
239 		Wagerr 	WGR 	0,00601 	$11,98M 	$3,57K 	0% 	-5,44% 	-10,76%
240 		Everipedia 	IQ 	0,00263063 	$11,85M 	$57,10K 	0% 	+0,15% 	-5,92%
241 		Gnosis 	GNO 	11,22 	$11,43M 	$295,53K 	0% 	0% 	-6,22%
242 		Stealthcoin 	XST 	0,10609 	$11,36M 	$17,25K 	0% 	+36,93% 	+7,07%
243 		Skycoin 	SKY 	0,8251 	$10,88M 	$540,84K 	0% 	0% 	-23,33%
244 		WhiteCoin 	XWC 	0,02 	$10,87M 	$110,07K 	0% 	0% 	+1,90%
245 		UTRUST 	UTK 	0,027538 	$10,84M 	$300,31K 	0% 	+9,44% 	-6,83%
246 		Nucleus Vision 	NCASH 	0,001786 	$10,78M 	$273,62K 	0% 	+5,84% 	-12,10%
247 		OST 	OST 	0,0235496 	$10,77M 	$220,48K 	0% 	-3,19% 	-14,77%
248 		NAV Coin 	NAV 	0,14907 	$10,43M 	$78,96K 	0% 	0% 	-14,74%
249 		Mobius 	MOBI 	0,01166 	$10,20M 	$159,83K 	0% 	+10,84% 	+60,15%
250 		Namecoin 	NMC 	0,6575 	$10,16M 	$21,76K 	0% 	+1,08% 	+7,72%
251 		Gulden 	NLG 	0,017567 	$10,07M 	$24,29K 	0% 	-0,38% 	-9,11%
252 		Dropil 	DROP 	0,00053 	$10,02M 	$68,00K 	0% 	+3,46% 	-33,74%
253 		Noah Coin 	NOAH 	0,00016 	$10,02M 	$206,59K 	0% 	+5,46% 	-19,13%
254 		Einsteinium 	EMC2 	0,05657 	$9,96M 	$157,55K 	0% 	+4,80% 	-4,18%
255 		MediBloc [ERC20] 	MEDX 	0,003166 	$9,75M 	$874,31K 	0,01% 	+7,08% 	-16,83%
256 		Genaro Network 	GNX 	0,0176 	$9,70M 	$237,86K 	0% 	+5,68% 	-3,75%
257 		Loopring [NEO] 	LRN 	0,0842107 	$9,57M 	$521,75K 	0% 	+23,36% 	+5,66%
258 		Ubiq 	UBQ 	0,20133 	$9,53M 	$6,23K 	0% 	+28,85% 	-14,43%
259 		Ethos 	ETHOS 	0,1455 	$9,51M 	$74,16K 	0% 	+3,92% 	-3,27%
260 		PLATINCOIN 	PLC 	13,57 	$9,50M 	$2,65M 	0,02% 	0% 	0%
261 		Quantstamp 	QSP 	0,0165 	$9,48M 	$116,89K 	0% 	+3,64% 	-5,99%
